0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:25 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:25 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:26 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:26 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:27 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:28 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:28 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:28 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:28 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:28 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:32 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:32 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:33 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:33 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:33 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:35 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:36 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:36 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:36 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:41 +0900] "GET /course/ HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:41 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:42 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:42 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:42 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [08/Dec/2017:09:46:43 +0900] "GET /course/ HTTP/1.1" 200 1246
